#SampleID	Dataset	FullName	Site	Condition
EAU-C-pool	1	EAU-C-pool	SW-C	SW
EAU-NC-pool	2	EAU-NC-pool	SW-NC	SW
PE-Temoin-pool	3	PE-Temoin-pool	Control	Control
S1-PE-C-1	4	S1-PE-C-1	C	W1
S1-PE-C-2	5	S1-PE-C-2	C	W1
S1-PE-C-3	6	S1-PE-C-3	C	W1
S1-PE-NC-1	7	S1-PE-NC-1	NC	W1
S1-PE-NC-2	8	S1-PE-NC-2	NC	W1
S1-PE-NC-3	9	S1-PE-NC-3	NC	W1
S2-PE-C-1	10	S2-PE-C-1	C	W2
S2-PE-C-2	11	S2-PE-C-2	C	W2
S2-PE-C-3	12	S2-PE-C-3	C	W2
S2-PE-NC-1	13	S2-PE-NC-1	NC	W2
S2-PE-NC-2	14	S2-PE-NC-2	NC	W2
S2-PE-NC-3	15	S2-PE-NC-3	NC	W2
S4-PE-C-1	16	S4-PE-C-1	C	W4
S4-PE-C-2	17	S4-PE-C-2	C	W4
S4-PE-C-3	18	S4-PE-C-3	C	W4
S4-PE-NC-1	19	S4-PE-NC-1	NC	W4
S4-PE-NC-2	20	S4-PE-NC-2	NC	W4
S4-PE-NC-3	21	S4-PE-NC-3	NC	W4
SED-C-pool	22	SED-C-pool	SD-C	SD
SED-NC-pool	23	SED-NC-pool	SD-NC	SD
